"gene","de_status","ctrl_1","ctrl_2","ctrl_3","trt_1","trt_2","trt_3"
"gene_1",FALSE,105,72,103,75,107,122
"gene_2",FALSE,36,23,26,66,41,77
"gene_3",TRUE,2,2,9,22,19,8
"gene_4",FALSE,20,3,25,5,0,21
"gene_5",TRUE,280,221,102,134,85,67
"gene_6",FALSE,171,186,211,252,125,264
"gene_7",FALSE,35,33,18,44,41,38
"gene_8",FALSE,7,6,10,20,6,7
"gene_9",FALSE,0,1,0,0,4,2
"gene_10",FALSE,0,0,1,0,0,0
"gene_11",TRUE,0,0,0,0,0,0
"gene_12",FALSE,25,45,54,17,34,28
"gene_13",FALSE,82,110,64,68,38,118
"gene_14",FALSE,9,41,35,9,30,24
"gene_15",TRUE,0,0,0,0,0,0
"gene_16",FALSE,7,10,17,14,6,3
"gene_17",FALSE,0,0,1,0,1,0
"gene_18",FALSE,54,66,21,29,11,44
"gene_19",FALSE,2,1,0,0,0,0
"gene_20",FALSE,0,0,0,0,0,0
"gene_21",FALSE,219,146,153,123,207,122
"gene_22",FALSE,9,10,24,10,18,31
"gene_23",FALSE,94,191,104,118,64,97
"gene_24",FALSE,4,6,4,4,1,6
"gene_25",FALSE,27,33,49,40,15,7
"gene_26",FALSE,0,0,0,1,0,0
"gene_27",FALSE,6,4,7,13,3,4
"gene_28",TRUE,50,50,56,218,124,172
"gene_29",FALSE,0,0,0,0,0,0
"gene_30",FALSE,9,7,9,24,1,12
"gene_31",FALSE,0,0,0,0,0,0
"gene_32",FALSE,4,0,5,3,12,4
"gene_33",FALSE,0,6,1,6,0,2
"gene_34",FALSE,214,147,153,134,135,140
"gene_35",FALSE,4,7,0,1,0,2
"gene_36",FALSE,37,37,18,18,30,25
"gene_37",FALSE,34,18,8,20,40,39
"gene_38",FALSE,1,7,0,15,2,6
"gene_39",FALSE,3,2,1,2,3,1
"gene_40",FALSE,11,29,25,47,46,53
"gene_41",FALSE,0,2,1,0,0,0
"gene_42",FALSE,24,39,0,28,13,0
"gene_43",FALSE,20,52,22,77,38,72
"gene_44",FALSE,1151,1219,1679,1088,1384,707
"gene_45",FALSE,0,1,0,0,1,5
"gene_46",FALSE,23,4,32,11,24,7
"gene_47",FALSE,22,39,34,22,12,31
"gene_48",FALSE,25,31,40,26,50,36
"gene_49",FALSE,48,27,37,27,71,61
"gene_50",TRUE,1277,959,562,480,398,525
"gene_51",FALSE,0,4,10,0,1,4
"gene_52",FALSE,1,2,4,0,1,2
"gene_53",TRUE,4,5,2,0,8,0
"gene_54",FALSE,0,0,1,1,3,0
"gene_55",FALSE,12,1,7,5,1,1
"gene_56",FALSE,0,2,0,0,0,0
"gene_57",FALSE,63,125,53,104,66,83
"gene_58",TRUE,8,9,0,20,18,31
"gene_59",TRUE,132,108,157,18,20,54
"gene_60",FALSE,2,18,8,9,3,16
"gene_61",FALSE,331,553,545,449,433,265
"gene_62",TRUE,92,72,134,346,95,147
"gene_63",FALSE,35,39,31,47,48,64
"gene_64",FALSE,11,21,14,8,8,4
"gene_65",FALSE,577,491,550,681,523,1063
"gene_66",FALSE,6,1,2,1,10,8
"gene_67",FALSE,0,0,0,0,0,0
"gene_68",FALSE,18,54,36,91,38,37
"gene_69",FALSE,78,12,87,17,69,41
"gene_70",FALSE,0,0,0,0,0,0
"gene_71",FALSE,155,83,174,180,103,186
"gene_72",FALSE,1,0,1,1,0,1
"gene_73",FALSE,8,23,19,28,37,16
"gene_74",FALSE,38,25,19,9,4,15
"gene_75",FALSE,19,13,9,31,14,20
"gene_76",TRUE,1,6,2,5,12,1
"gene_77",FALSE,495,367,287,144,436,282
"gene_78",FALSE,44,74,19,33,65,67
"gene_79",FALSE,0,0,2,0,4,1
"gene_80",FALSE,23,7,6,6,9,1
"gene_81",FALSE,0,0,0,2,0,0
"gene_82",FALSE,215,131,66,114,108,96
"gene_83",FALSE,69,68,36,86,70,152
"gene_84",FALSE,0,0,0,0,0,0
"gene_85",FALSE,34,17,38,9,5,16
"gene_86",FALSE,159,98,102,125,191,135
"gene_87",FALSE,2,10,10,7,0,15
"gene_88",FALSE,13,9,1,6,2,6
"gene_89",FALSE,2,3,8,5,22,14
"gene_90",FALSE,66,39,186,134,35,28
"gene_91",FALSE,0,3,0,0,0,0
"gene_92",FALSE,0,2,0,10,8,7
"gene_93",FALSE,4,6,0,0,8,0
"gene_94",FALSE,28,57,38,55,43,70
"gene_95",FALSE,39,27,66,90,42,53
"gene_96",FALSE,0,0,1,0,0,0
"gene_97",FALSE,0,0,0,0,1,0
"gene_98",FALSE,0,1,2,1,2,17
"gene_99",FALSE,10,12,12,20,16,4
"gene_100",FALSE,148,131,267,207,67,208
"gene_101",FALSE,1190,1567,1957,1817,1132,1932
"gene_102",FALSE,37,43,16,22,14,27
"gene_103",FALSE,102,60,118,60,140,73
"gene_104",FALSE,20,6,4,19,3,7
"gene_105",FALSE,0,0,0,0,1,0
"gene_106",FALSE,18,26,18,33,31,15
"gene_107",FALSE,4,10,11,17,14,3
"gene_108",FALSE,89,187,59,229,131,138
"gene_109",FALSE,0,0,12,16,2,1
"gene_110",FALSE,3,0,0,0,0,0
"gene_111",FALSE,0,9,0,0,0,0
"gene_112",FALSE,148,213,84,204,152,278
"gene_113",FALSE,1,1,0,3,19,1
"gene_114",FALSE,3,4,16,0,17,11
"gene_115",TRUE,0,0,1,1,5,3
"gene_116",TRUE,2,0,0,0,0,0
"gene_117",FALSE,1583,957,1074,561,579,1087
"gene_118",FALSE,42,35,39,25,60,24
"gene_119",FALSE,1,12,4,6,3,4
"gene_120",FALSE,71,216,153,81,112,173
"gene_121",FALSE,4,8,1,19,5,4
"gene_122",FALSE,3,7,0,0,0,16
"gene_123",FALSE,0,0,0,0,0,0
"gene_124",FALSE,18,4,12,9,11,2
"gene_125",FALSE,1,2,2,9,0,1
"gene_126",FALSE,27,6,7,12,26,3
"gene_127",FALSE,5,0,0,0,0,0
"gene_128",FALSE,0,0,0,2,0,0
"gene_129",FALSE,4,1,0,11,1,8
"gene_130",FALSE,36,52,69,18,19,12
"gene_131",TRUE,0,0,0,0,0,2
"gene_132",TRUE,14,6,9,42,31,26
"gene_133",FALSE,0,4,0,1,16,2
"gene_134",FALSE,23,12,20,11,5,20
"gene_135",FALSE,416,435,435,564,475,401
"gene_136",FALSE,0,0,0,2,2,3
"gene_137",FALSE,0,0,3,3,0,0
"gene_138",FALSE,48,19,38,28,58,39
"gene_139",FALSE,30,8,11,29,28,13
"gene_140",TRUE,4,7,6,19,5,39
"gene_141",FALSE,51,42,31,25,46,36
"gene_142",FALSE,1,0,2,0,0,4
"gene_143",FALSE,3,5,1,0,1,1
"gene_144",FALSE,941,500,464,379,449,498
"gene_145",FALSE,114,65,92,69,90,68
"gene_146",FALSE,54,66,63,34,94,27
"gene_147",FALSE,707,626,312,569,524,597
"gene_148",FALSE,3,13,11,16,6,16
"gene_149",FALSE,67,55,76,99,80,56
"gene_150",FALSE,114,137,192,143,136,63
"gene_151",FALSE,1,0,0,1,0,4
"gene_152",FALSE,9,18,10,12,3,5
"gene_153",FALSE,1650,4299,1800,4185,2744,2610
"gene_154",FALSE,116,100,150,89,172,276
"gene_155",FALSE,1,2,0,2,5,0
"gene_156",FALSE,0,0,0,0,0,0
"gene_157",FALSE,31,12,38,5,25,5
"gene_158",FALSE,9,1,7,2,3,2
"gene_159",FALSE,0,3,0,0,0,0
"gene_160",FALSE,12,30,26,22,25,10
"gene_161",TRUE,878,493,364,224,151,249
"gene_162",FALSE,6,14,8,8,18,11
"gene_163",FALSE,40,25,9,5,2,6
"gene_164",FALSE,264,370,628,341,192,477
"gene_165",FALSE,2,5,4,4,4,3
"gene_166",FALSE,0,7,0,0,4,0
"gene_167",FALSE,27,30,15,30,18,27
"gene_168",FALSE,0,0,0,0,0,3
"gene_169",FALSE,289,150,121,168,231,85
"gene_170",FALSE,1871,1789,1486,1335,1853,996
"gene_171",FALSE,3,8,1,7,2,9
"gene_172",FALSE,110,64,118,151,44,67
"gene_173",FALSE,6,7,0,1,0,6
"gene_174",FALSE,4,9,17,15,72,4
"gene_175",FALSE,18,15,30,11,19,52
"gene_176",FALSE,111,127,254,244,92,71
"gene_177",TRUE,182,249,56,17,34,38
"gene_178",FALSE,19,19,30,51,23,5
"gene_179",FALSE,93,42,94,42,54,52
"gene_180",TRUE,1,4,0,18,14,23
"gene_181",FALSE,43,65,49,80,98,38
"gene_182",FALSE,11,42,33,9,49,27
"gene_183",FALSE,60,43,31,39,42,47
"gene_184",FALSE,7,2,1,1,7,1
"gene_185",FALSE,8,1,11,6,7,3
"gene_186",FALSE,96,59,41,56,42,68
"gene_187",FALSE,81,114,160,138,117,91
"gene_188",FALSE,10,2,11,5,8,0
"gene_189",FALSE,1,0,0,4,0,1
"gene_190",TRUE,48,66,56,2,8,14
"gene_191",FALSE,1,1,0,0,4,0
"gene_192",FALSE,0,0,0,2,0,0
"gene_193",TRUE,44,22,114,7,46,18
"gene_194",FALSE,96,175,109,153,138,83
"gene_195",FALSE,188,332,215,189,185,172
"gene_196",FALSE,32,24,34,63,56,36
"gene_197",TRUE,113,243,268,90,52,65
"gene_198",FALSE,31,30,24,35,7,38
"gene_199",FALSE,1016,1341,2096,1778,1376,2470
"gene_200",FALSE,0,1,0,5,0,0
"gene_201",FALSE,14,0,10,15,0,18
"gene_202",FALSE,7,38,34,34,55,40
"gene_203",FALSE,0,0,1,1,5,0
"gene_204",FALSE,32,14,14,31,20,23
"gene_205",FALSE,100,83,95,45,105,56
"gene_206",FALSE,7,0,3,0,4,15
"gene_207",TRUE,0,3,1,0,0,3
"gene_208",FALSE,2,6,1,25,22,17
"gene_209",TRUE,92,55,56,288,362,200
"gene_210",FALSE,31,52,24,32,25,35
"gene_211",FALSE,6,7,1,3,0,0
"gene_212",FALSE,52,24,16,80,31,51
"gene_213",FALSE,10,0,4,2,6,2
"gene_214",FALSE,0,0,0,0,0,0
"gene_215",FALSE,77,54,63,18,68,45
"gene_216",FALSE,36,5,27,57,28,9
"gene_217",FALSE,44,39,60,11,70,29
"gene_218",FALSE,40,61,40,25,36,49
"gene_219",FALSE,5,1,0,0,10,4
"gene_220",FALSE,90,128,157,102,148,125
"gene_221",FALSE,0,0,1,3,2,6
"gene_222",FALSE,234,346,457,515,351,318
"gene_223",TRUE,10,14,6,37,20,42
"gene_224",FALSE,6,13,8,16,8,1
"gene_225",FALSE,1,5,39,22,23,4
"gene_226",FALSE,7,24,22,16,15,11
"gene_227",FALSE,11,20,0,13,1,7
"gene_228",TRUE,45,17,31,34,11,20
"gene_229",FALSE,8,24,8,2,5,7
"gene_230",FALSE,30,44,20,50,57,31
"gene_231",FALSE,432,234,222,125,224,333
"gene_232",FALSE,13,37,24,43,45,53
"gene_233",FALSE,5,10,4,10,6,2
"gene_234",FALSE,0,4,2,0,0,13
"gene_235",FALSE,5,4,5,4,14,24
"gene_236",FALSE,33,12,8,18,10,15
"gene_237",FALSE,20,13,6,6,4,17
"gene_238",FALSE,1,1,2,0,1,6
"gene_239",TRUE,10,8,36,10,2,2
"gene_240",FALSE,4,4,0,2,0,4
"gene_241",FALSE,26,22,28,11,7,10
"gene_242",FALSE,175,151,163,88,143,142
"gene_243",FALSE,180,245,226,251,122,241
"gene_244",FALSE,147,196,219,87,72,131
"gene_245",FALSE,0,0,0,0,8,0
"gene_246",FALSE,896,1027,718,828,1012,858
"gene_247",TRUE,3,0,10,0,2,0
"gene_248",FALSE,24,30,23,7,12,30
"gene_249",TRUE,0,0,0,0,0,0
"gene_250",FALSE,3,9,12,17,11,21
"gene_251",FALSE,895,353,760,674,430,722
"gene_252",FALSE,17,14,18,14,27,26
"gene_253",FALSE,164,89,86,106,183,66
"gene_254",FALSE,17,0,10,4,8,1
"gene_255",FALSE,9,32,28,33,46,24
"gene_256",FALSE,0,0,0,0,0,0
"gene_257",FALSE,10,6,16,18,17,37
"gene_258",FALSE,10,6,2,8,12,6
"gene_259",FALSE,39,43,51,26,69,43
"gene_260",FALSE,0,1,0,4,1,1
"gene_261",FALSE,1,11,14,12,2,6
"gene_262",FALSE,7,1,15,19,7,2
"gene_263",FALSE,36,44,54,23,28,68
"gene_264",FALSE,0,2,1,1,0,0
"gene_265",FALSE,0,0,0,0,0,0
"gene_266",FALSE,94,69,34,65,45,75
"gene_267",FALSE,14,3,19,8,3,2
"gene_268",FALSE,85,86,53,32,71,54
"gene_269",TRUE,22,31,60,7,13,6
"gene_270",FALSE,133,145,56,102,156,135
